"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.316244230E-1,5.529999733E-1,-1.550000012E-1,-1.570000052E-1
7.366120400E-1,4.499999881E-1,-1.280000061E-1,-4.699999988E-1
7.415997310E-1,3.560000062E-1,-6.800000370E-2,-7.269999981E-1
7.465874230E-1,1.969999969E-1,-3.500000015E-2,-9.509999752E-1
7.515748870E-1,5.600000173E-2,0.000000000E0,-1.118999958E0
7.565625910E-1,5.999999866E-2,7.800000161E-2,-1.159000039E0
7.615502830E-1,1.420000046E-1,1.469999999E-1,-1.139999986E0
7.665379750E-1,2.129999995E-1,2.419999987E-1,-1.133999944E0
7.715256490E-1,2.300000042E-1,3.160000145E-1,-1.111999989E0
7.765132660E-1,1.640000045E-1,3.659999967E-1,-1.070000052E0
7.815009570E-1,6.599999964E-2,4.020000100E-1,-9.900000095E-1
7.864884200E-1,-1.049999967E-1,4.110000134E-1,-8.930000067E-1
7.914761100E-1,-1.550000012E-1,3.959999979E-1,-7.639999986E-1
7.964638030E-1,-1.030000001E-1,3.740000129E-1,-6.529999971E-1
8.014515000E-1,-2.500000037E-2,3.659999967E-1,-5.279999971E-1
8.064391920E-1,3.299999982E-2,3.429999948E-1,-3.630000055E-1
8.114268100E-1,4.699999839E-2,3.300000131E-1,-1.490000039E-1
8.164145190E-1,7.599999756E-2,3.210000098E-1,8.100000024E-2
8.214022110E-1,7.999999821E-2,2.820000052E-1,2.739999890E-1
8.263896700E-1,4.300000146E-2,2.119999975E-1,3.549999893E-1
8.313773600E-1,-1.000000047E-3,1.180000007E-1,3.370000124E-1
8.363650580E-1,-8.999999613E-3,4.199999943E-2,2.310000062E-1
8.413527500E-1,3.099999949E-2,1.499999966E-2,1.120000035E-1
8.463403670E-1,1.120000035E-1,2.000000095E-3,4.000000190E-3
8.513280390E-1,9.399999678E-2,1.300000027E-2,-2.099999972E-2
8.563157310E-1,5.600000173E-2,1.799999923E-2,-3.799999878E-2
8.613034230E-1,3.900000080E-2,2.199999988E-2,-7.000000216E-3
8.662908870E-1,-1.600000076E-2,5.200000107E-2,1.040000021E-1
8.712785770E-1,-8.699999750E-2,9.300000221E-2,1.889999956E-1
8.762662690E-1,-1.560000032E-1,1.239999980E-1,2.280000001E-1
8.812539760E-1,-9.200000018E-2,1.410000026E-1,3.100000024E-1
8.862416680E-1,8.000000380E-3,1.379999965E-1,3.919999897E-1
8.912293600E-1,6.199999899E-2,1.430000067E-1,4.070000052E-1
8.962169880E-1,7.800000161E-2,1.539999992E-1,4.059999883E-1
9.012046780E-1,8.500000089E-2,1.870000064E-1,3.899999857E-1
9.061923700E-1,7.800000161E-2,2.140000015E-1,4.480000138E-1
9.111798380E-1,5.999999866E-2,2.150000036E-1,5.040000081E-1
9.161675280E-1,1.200000010E-2,2.140000015E-1,5.519999862E-1
9.211552210E-1,4.999999888E-3,1.870000064E-1,6.159999967E-1
9.261428990E-1,-7.299999893E-2,1.679999977E-1,6.520000100E-1
9.311305910E-1,-4.100000113E-2,1.169999987E-1,6.510000229E-1
9.361182090E-1,1.150000021E-1,6.100000069E-2,7.260000110E-1
9.411059090E-1,1.920000017E-1,1.600000076E-2,6.840000153E-1
9.460936010E-1,1.589999944E-1,-1.000000047E-3,6.299999952E-1
9.510812940E-1,1.389999986E-1,-1.799999923E-2,5.960000157E-1
9.560687710E-1,1.720000058E-1,1.899999939E-2,6.280000210E-1
9.610564610E-1,1.870000064E-1,3.599999845E-2,6.949999928E-1
9.660441490E-1,1.589999944E-1,4.000000190E-3,7.310000062E-1
9.710318410E-1,1.469999999E-1,7.000000216E-3,7.279999852E-1
9.760195330E-1,1.589999944E-1,4.199999943E-2,7.129999995E-1
9.810072450E-1,1.729999930E-1,1.439999938E-1,6.790000200E-1
9.859949370E-1,1.019999981E-1,1.940000057E-1,5.849999785E-1
9.909825540E-1,3.200000152E-2,1.909999996E-1,5.180000067E-1
9.959702650E-1,-1.270000041E-1,9.000000358E-2,3.840000033E-1
1.000957957E0,-2.500000037E-2,2.199999988E-2,2.779999971E-1
1.005945421E0,2.590000033E-1,1.379999965E-1,3.160000145E-1
1.010933125E0,2.280000001E-1,2.899999917E-1,3.950000107E-1
1.015920817E0,1.169999987E-1,3.280000091E-1,4.399999976E-1
1.020908510E0,-2.999999933E-2,3.030000031E-1,4.519999921E-1
1.025896122E0,-2.919999957E-1,1.560000032E-1,4.550000131E-1
1.030883812E0,-2.179999948E-1,1.630000025E-1,4.830000103E-1
1.035871582E0,-7.299999893E-2,2.759999931E-1,5.009999871E-1
1.040859199E0,-4.500000179E-2,3.160000145E-1,4.289999902E-1
1.045846889E0,-1.140000001E-1,2.489999980E-1,2.989999950E-1
1.050834582E0,-2.160000056E-1,1.509999931E-1,1.360000074E-1
1.055822045E0,-2.049999982E-1,7.699999958E-2,5.700000003E-2
1.060809735E0,-1.180000007E-1,5.200000107E-2,8.600000292E-2
1.065797428E0,-1.799999923E-2,1.999999955E-2,1.120000035E-1
1.070785120E0,5.999999866E-2,-5.200000107E-2,1.930000037E-1
1.075772738E0,1.400000006E-1,-8.699999750E-2,1.780000031E-1
1.080760462E0,2.259999961E-1,-1.209999993E-1,1.480000019E-1
1.085748154E0,2.960000038E-1,-2.409999967E-1,2.080000043E-1
1.090735831E0,3.109999895E-1,-4.009999931E-1,3.459999859E-1
1.095723295E0,3.619999886E-1,-5.370000005E-1,5.180000067E-1
1.100710985E0,4.140000045E-1,-6.370000243E-1,6.389999986E-1
1.105698678E0,4.979999959E-1,-7.049999833E-1,7.139999866E-1
